"OverTime","BusinessTravel","Education","EnvSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","RelatSatisfaction","StockOptionLevel","WorkLifeBalance","Department","EducationField","JobRole","MaritalStatus","Age","DistanceFromHome","MonthlyIncome","NumCompaniesWorked","TotalWorkingYears","YearsAtCompany","YearsInCurrentRole","YearsWithCurrManager","Attrition"
"Yes","Rarely","College","Medium","High","Intermediate","Very High","Low","No stock","Bad","Sales","Life Sciences","Sales Exe.","Single",41,1,5993,8,8,6,4,5,"Yes"
"No","Frequently","Below College","High","Medium","Intermediate","Medium","Very High","Few stocks","Better","R&D","Life Sciences","Res. Sci.","Married",49,8,5130,1,10,10,7,7,"No"
"Yes","Rarely","College","Very High","Medium","Entry","High","Medium","No stock","Better","R&D","Other","Lab. Tech.","Single",37,2,2090,6,7,0,0,0,"Yes"
"Yes","Frequently","Master","Very High","High","Entry","High","High","No stock","Better","R&D","Life Sciences","Res. Sci.","Married",33,3,2909,1,8,8,7,0,"No"
"No","Rarely","Below College","Low","High","Entry","Medium","Very High","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",27,2,3468,9,6,2,2,2,"No"
"No","Frequently","College","Very High","High","Entry","Very High","High","No stock","Good","R&D","Life Sciences","Lab. Tech.","Single",32,2,3068,0,8,7,7,6,"No"
"Yes","Rarely","Bachelor","High","Very High","Entry","Low","Low","Many stocks","Good","R&D","Medical","Lab. Tech.","Married",59,3,2670,4,12,1,0,0,"No"
"No","Rarely","Below College","Very High","High","Entry","High","Medium","Few stocks","Better","R&D","Life Sciences","Lab. Tech.","Divorced",30,24,2693,1,1,1,0,0,"No"
"No","Frequently","Bachelor","Very High","Medium","Experienced","High","Medium","No stock","Better","R&D","Life Sciences","Manuf. Dir.","Single",38,23,9526,0,10,9,7,8,"No"
"No","Rarely","Bachelor","High","High","Intermediate","High","Medium","Medium stocks","Good","R&D","Medical","Health. Repr.","Married",36,27,5237,6,17,7,7,7,"No"
"No","Rarely","Bachelor","Low","Very High","Entry","Medium","High","Few stocks","Better","R&D","Medical","Lab. Tech.","Married",35,16,2426,0,6,5,4,3,"No"
"Yes","Rarely","College","Very High","Medium","Intermediate","High","Very High","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",29,15,4193,0,10,9,5,8,"No"
"No","Rarely","Below College","Low","High","Entry","High","Very High","Few stocks","Good","R&D","Life Sciences","Res. Sci.","Divorced",31,26,2911,1,5,5,2,3,"No"
"No","Rarely","College","Medium","High","Entry","Very High","High","Few stocks","Better","R&D","Medical","Lab. Tech.","Divorced",34,19,2661,0,3,2,2,2,"No"
"Yes","Rarely","Bachelor","High","Medium","Entry","High","Medium","No stock","Better","R&D","Life Sciences","Lab. Tech.","Single",28,24,2028,5,6,4,2,3,"Yes"
"No","Rarely","Master","Medium","Very High","Experienced","Low","High","Few stocks","Better","R&D","Life Sciences","Manuf. Dir.","Divorced",29,21,9980,1,10,10,9,8,"No"
"Yes","Rarely","College","Low","Very High","Entry","Medium","Very High","Medium stocks","Good","R&D","Life Sciences","Res. Sci.","Divorced",32,5,3298,0,7,6,2,5,"No"
"Yes","Never","College","Very High","Very High","Entry","Very High","Medium","Medium stocks","Good","R&D","Medical","Lab. Tech.","Divorced",22,16,2935,1,1,1,0,0,"No"
"No","Rarely","Master","Low","Medium","Advanced","Very High","High","No stock","Better","Sales","Life Sciences","Manager","Married",53,2,15427,2,31,25,8,7,"No"
"Yes","Rarely","Bachelor","Very High","High","Entry","Very High","High","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",38,2,3944,5,6,3,2,2,"No"
"No","Never","College","Low","Very High","Intermediate","High","Very High","Few stocks","Good","R&D","Other","Manuf. Dir.","Divorced",24,11,4011,0,5,4,2,3,"No"
"No","Rarely","Master","High","Medium","Entry","Low","Medium","No stock","Better","Sales","Life Sciences","Sales Repr.","Single",36,9,3407,7,10,5,3,3,"Yes"
"No","Rarely","Master","Low","High","Experienced","Medium","High","No stock","Better","R&D","Life Sciences","Res. Dir.","Single",34,7,11994,0,13,12,6,11,"No"
"No","Rarely","College","High","High","Entry","Very High","Very High","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",21,15,1232,1,0,0,0,0,"No"
"No","Rarely","Below College","Medium","High","Entry","Low","High","No stock","Better","R&D","Medical","Res. Sci.","Single",34,6,2960,2,8,4,2,3,"Yes"
"No","Rarely","Bachelor","High","High","Expert","High","Very High","Few stocks","Good","R&D","Other","Manager","Divorced",53,5,19094,4,26,14,13,8,"No"
"Yes","Frequently","Below College","Medium","Low","Entry","Low","Medium","No stock","Better","R&D","Life Sciences","Res. Sci.","Single",32,16,3919,1,10,10,2,7,"Yes"
"No","Rarely","Master","High","High","Intermediate","Medium","Very High","Few stocks","Better","Sales","Marketing","Sales Exe.","Married",42,8,6825,0,10,9,7,2,"No"
"No","Rarely","Master","Low","Medium","Experienced","Very High","Very High","Few stocks","Better","R&D","Medical","Health. Repr.","Married",44,7,10248,3,24,22,6,17,"No"
"No","Rarely","Master","Medium","High","Expert","Low","Very High","No stock","Good","Sales","Marketing","Manager","Single",46,2,18947,3,22,2,2,1,"No"
"No","Rarely","Bachelor","High","High","Entry","Very High","Very High","No stock","Better","R&D","Medical","Lab. Tech.","Single",33,2,2496,4,7,1,1,0,"No"
"Yes","Rarely","Master","Very High","High","Intermediate","Very High","Very High","No stock","Best","R&D","Other","Health. Repr.","Married",44,10,6465,2,9,4,2,3,"No"
"No","Rarely","College","Very High","Medium","Entry","High","Low","No stock","Better","R&D","Medical","Lab. Tech.","Single",30,9,2206,1,10,10,0,8,"No"
"No","Rarely","Bachelor","Very High","High","Intermediate","Very High","High","Few stocks","Best","Sales","Technical","Sales Repr.","Married",39,5,2086,3,19,1,0,0,"Yes"
"Yes","Rarely","Bachelor","Medium","High","Entry","Very High","Low","Few stocks","Good","R&D","Medical","Res. Sci.","Married",24,1,2293,2,6,2,0,0,"Yes"
"No","Rarely","College","Very High","Very High","Entry","High","Very High","Medium stocks","Good","R&D","Medical","Res. Sci.","Divorced",43,2,2645,1,6,5,3,4,"No"
